Temperature (°C),Air voids (%),ITS (MPa),DoA (% max.ITS)
190,18.56476759,0.17602468,16.83721603
70,20.4381846,0.387838015,18.74156834
100,17.66217101,0.902,53.77162745
140,14.62529712,1.6376,49.87570692
170,11.74777702,2.0694,100
190,10.88942936,2.1122,79.82077638
70,23.27662354,0.33,14.44707118
100,16.69971415,1.2,52.53480431
140,12.69507196,1.982,86.76998512
170,11.40613186,2.2842,100
190,11.05741484,2.1544,94.31748533
70,25.74614416,0.221,9.331982096
100,18.93151645,1.0452,44.13478591
140,16.31437039,1.7244,72.81479605
170,13.46286939,2.3682,100
190,12.76386856,2.2312,94.21501562
70,24.81880122,0.4684,20.84557187
100,19.33519098,1.022,45.48286604
140,14.12070025,2.1376,95.13128616
170,13.17290926,2.247,100
190,12.65392976,2.2212,98.8518024
70,24.77144992,0.237214726,11.60087668
100,18.64012121,1.0548,51.58450704
140,16.36843033,1.5634,76.45735524
170,13.88290751,2.0448,100
190,19.30825646,0.7618,37.25547731
100,24.41923838,0.104666667,21.30257802
140,20.25055638,0.491333333,100
170,24.47827646,0.152,30.93622795
70,21.52686667,0.306,25.99830076
100,17.92726667,0.631333333,53.6391957
140,13.0533,1.177,100
170,14.6417,1.112666667,94.53412631
100,11.46803436,0.46086529,41.25047077
140,8.03305397,1.117236438,100
170,11.42826828,0.228151035,20.42101632
100,10.653739,0.648128365,36.68329851
140,7.872074911,1.257449906,71.17017675
170,5.4394137,1.678164125,94.98210367
190,6.105088907,1.76682139,100
100,11.82982928,0.432335765,21.86475024
140,5.961588642,1.977318561,100
170,9.261104311,1.851483061,93.63605324
190,12.14378298,0.368778302,18.65042431
70,16.7925,0.27725,30.95577022
100,13.785,0.58725,76.01335362
140,12.9175,0.65825,70.19771117
170,12.035,1.29575,100
190,14.6,0.6465,36.41581182
70,15.7034798,0.27619559,31.50738481
100,15.07722564,0.740962566,84.52630505
140,15.00682927,0.876605887,100
170,15.04697809,0.838212152,95.62018294
190,15.77690428,0.290231796,33.10858393
70,16.62963769,0.087356575,7.248974921
100,13.72608404,0.733009227,60.82616573
135,10.18846112,1.205088662,100
170,12.84586641,1.035960266,85.96548107
190,13.86411187,0.453169414,37.60465338
70,19.92194748,0.13691609,11.13314209
100,17.49120773,0.579688211,47.1365433
140,13.90311431,1.229806367,100
170,14.13028704,1.163444328,94.60386279
190,17.82950244,0.242850589,19.74705899
70,17.71934983,0.047872598,4.435274378
100,17.21613602,0.311183379,28.83034809
140,14.40083179,0.926862223,85.87142602
170,12.40188823,1.079360465,100
190,14.10244463,0.620734999,57.50951785
70,18.5601453,0.070257577,5.19416126
100,16.73224509,0.446780273,33.03058387
140,13.38553368,1.352626022,100
170,11.51657932,1.09189973,80.72443621
190,16.99039753,0.289973792,21.43783927
70,18.78980037,0.178895969,12.91457203
100,15.21478451,0.551787426,39.83375641
140,11.1369411,1.385225688,100
170,11.64798642,1.219590635,88.04273887
190,14.41823885,0.554694715,40.0436348
70,17.52936634,0.405871379,17.53199142
100,13.02975231,1.060321742,45.80158301
140,10.60841574,1.676598131,72.42221437
170,7.632455694,2.315032957,100
190,15.16993588,0.377198382,16.29343465
70,10.78380356,0.184357648,16.43225578
100,8.617052045,0.486643027,43.37570362
140,5.673573088,1.056998729,94.21292634
170,5.952854864,1.121925377,100
190,5.93843242,0.792464671,70.63434757
100,26.56934143,0.052215775,7.925333819
140,19.62247986,0.437948789,66.47206356
170,18.06911899,0.658846387,100
190,21.89372789,0.207914543,31.55736253
